observation_date,GGGDTAITA188N
1988-01-01,95.722
1989-01-01,98.400
1990-01-01,101.710
1991-01-01,105.309
1992-01-01,112.967
1993-01-01,124.107
1994-01-01,130.831
1995-01-01,119.088
1996-01-01,118.896
1997-01-01,116.491
1998-01-01,113.887
1999-01-01,113.059
2000-01-01,108.743
2001-01-01,108.513
2002-01-01,105.947
2003-01-01,105.141
2004-01-01,104.742
2005-01-01,106.176
2006-01-01,106.253
2007-01-01,103.454
2008-01-01,105.788
2009-01-01,116.121
2010-01-01,118.737
2011-01-01,119.106
2012-01-01,125.870
2013-01-01,131.816
2014-01-01,134.755
2015-01-01,134.746
2016-01-01,134.195
2017-01-01,133.689
2018-01-01,134.138
2019-01-01,133.823
2020-01-01,154.288
2021-01-01,145.735
2022-01-01,138.279
2023-01-01,134.579
2024-01-01,135.286
